"spatialunit_uid","spatialunit_current_id","spatialunit_ontology","name","name_de","name_fr","name_it","country","canton","district","municipal","residence_area","neighborhood","region","zone","spatialunit_hist_id","canton_hist_id","district_hist_id","valid_from","valid_until"
"101_A.ADM3",101,Municipality,Steinmaur,Steinmaur,Steinmaur,Steinmaur,false,false,false,true,false,false,false,false,10597,1,10080,1960-01-01,2999-12-31
"2933_A.ADM3",2933,Municipality,Buchberg,Buchberg,Buchberg,Buchberg,false,false,false,true,false,false,false,false,11474,14,10089,1960-01-01,2999-12-31
"37_A.ADM3",37,Municipality,Ossingen,Ossingen,Ossingen,Ossingen,false,false,false,true,false,false,false,false,13128,1,10082,1960-01-01,2999-12-31
"6195_A.ADM3",6195,Municipality,Ferden,Ferden,Ferden,Ferden,false,false,false,true,false,false,false,false,11995,23,10125,1960-01-01,2999-12-31
"250_A.ADM3",250,Municipality,Urdorf,Urdorf,Urdorf,Urdorf,false,false,false,true,false,false,false,false,13698,1,10229,1990-01-01,2999-12-31
"932_A.ADM3",932,Municipality,Horrenbach-Buchen,Horrenbach-Buchen,Horrenbach-Buchen,Horrenbach-Buchen,false,false,false,true,false,false,false,false,15330,2,10289,2010-01-01,2999-12-31
"5163_A.ADM3",5163,Municipality,Cadro,Cadro,Cadro,Cadro,false,false,false,true,false,false,false,false,11495,21,10003,1960-01-01,2013-04-13
"5558_A.ADM3",5558,Municipality,Fontanezier,Fontanezier,Fontanezier,Fontanezier,false,false,false,true,false,false,false,false,14752,22,10276,2006-09-01,2011-06-30
"6474_A.ADM3",6474,Municipality,Coffrane,Coffrane,Coffrane,Coffrane,false,false,false,true,false,false,false,false,11600,24,10185,1960-01-01,2012-12-31
"2123_A.ADM3",2123,Municipality,Botterens,Botterens,Botterens,Botterens,false,false,false,true,false,false,false,false,14530,10,10105,2006-01-01,2999-12-31
"2092_A.ADM3",2092,Municipality,La Neirigue,La Neirigue,La Neirigue,La Neirigue,false,false,false,true,false,false,false,false,12579,10,10106,1960-01-01,2003-12-31
"6300_A.ADM3",6300,Municipality,Zermatt,Zermatt,Zermatt,Zermatt,false,false,false,true,false,false,false,false,10315,23,10180,1960-01-01,2999-12-31
"4927_A.ADM3",4927,Municipality,Oppikon,Oppikon,Oppikon,Oppikon,false,false,false,true,false,false,false,false,12485,20,10008,1960-01-01,1995-12-31
"2117_A.ADM3",2117,Municipality,Villaz,Villaz,Villaz,Villaz,false,false,false,true,false,false,false,false,16132,10,10106,2020-01-01,2999-12-31
"2304_A.ADM3",2304,Municipality,St. Ursen,St. Ursen,St. Ursen,St. Ursen,false,false,false,true,false,false,false,false,10380,10,10102,1960-01-01,2999-12-31
"4546_A.ADM3",4546,Municipality,Schlatt (TG),Schlatt (TG),Schlatt (TG),Schlatt (TG),false,false,false,true,false,false,false,false,15467,20,10294,2011-01-01,2999-12-31
"6506_A.ADM3",6506,Municipality,Fleurier,Fleurier,Fleurier,Fleurier,false,false,false,true,false,false,false,false,11943,24,10186,1960-01-01,2008-12-31
"663_A.ADM3",663,Municipality,Frauenkappelen,Frauenkappelen,Frauenkappelen,Frauenkappelen,false,false,false,true,false,false,false,false,15197,2,10288,2010-01-01,2999-12-31
